,x,y,coords,geometry,net,name,vn_kv,type,zone,in_service,min_vm_pu,max_vm_pu,consumer_bus,plz
0,11.469696197634697,48.26266462357512,,POINT (11.469696197634697 48.26266462357512),0,LVbus 1,0.4,n,,True,0.95,1.05,False,85221
1,11.469696197634697,48.26281462357512,,POINT (11.469696197634697 48.26281462357512),0,MVbus 1,20.0,n,,True,0.95,1.05,False,85221
2,11.469696197634697,48.26266462357512,,POINT (11.469696197634697 48.26266462357512),0,Connection Nodebus 2958,0.4,n,,True,0.95,1.05,False,85221
3,11.469695166272981,48.26274546053683,,POINT (11.469695166272981 48.26274546053683),0,Connection Nodebus 2959,0.4,n,,True,0.95,1.05,False,85221
4,11.469403634655123,48.26214531392576,,POINT (11.469403634655123 48.26214531392576),0,Connection Nodebus 19872,0.4,n,,True,0.95,1.05,False,85221
5,11.469209300000001,48.26336489641957,,POINT (11.469209300000001 48.26336489641957),0,Connection Nodebus 2514,0.4,n,,True,0.95,1.05,False,85221
6,11.468002199999999,48.26293709641944,,POINT (11.468002199999999 48.26293709641944),0,Connection Nodebus 19879,0.4,n,,True,0.95,1.05,False,85221
7,11.468304039255898,48.26293913254552,,POINT (11.468304039255898 48.26293913254552),0,Connection Nodebus 19876,0.4,n,,True,0.95,1.05,False,85221
8,11.467448793775851,48.26237724969601,,POINT (11.467448793775851 48.26237724969601),0,Connection Nodebus 11695,0.4,n,,True,0.95,1.05,False,85221
9,11.467093084169305,48.262542757447115,,POINT (11.467093084169305 48.262542757447115),0,Connection Nodebus 11697,0.4,n,,True,0.95,1.05,False,85221
10,11.468049200000005,48.26208069641915,,POINT (11.468049200000005 48.26208069641915),0,Connection Nodebus 2738,0.4,n,,True,0.95,1.05,False,85221
11,11.466976955404819,48.26253428565259,,POINT (11.466976955404819 48.26253428565259),0,Connection Nodebus 11657,0.4,n,,True,0.95,1.05,False,85221
12,11.466865033192542,48.26252612061497,,POINT (11.466865033192542 48.26252612061497),0,Connection Nodebus 11703,0.4,n,,True,0.95,1.05,False,85221
13,11.471905249316041,48.262229069343384,,POINT (11.471905249316041 48.262229069343384),0,Connection Nodebus 13,0.4,n,,True,0.95,1.05,False,85221
14,11.467394628973391,48.262154702059405,,POINT (11.467394628973391 48.262154702059405),0,Connection Nodebus 9859,0.4,n,,True,0.95,1.05,False,85221
15,11.466746934867247,48.26251750488669,,POINT (11.466746934867247 48.26251750488669),0,Connection Nodebus 11701,0.4,n,,True,0.95,1.05,False,85221
16,11.468685629109263,48.26169658542159,,POINT (11.468685629109263 48.26169658542159),0,Connection Nodebus 13921,0.4,n,,True,0.95,1.05,False,85221
17,11.471254457304656,48.26185921906017,,POINT (11.471254457304656 48.26185921906017),0,Connection Nodebus 19741,0.4,n,,True,0.95,1.05,False,85221
18,11.466635346194678,48.262509363943835,,POINT (11.466635346194678 48.262509363943835),0,Connection Nodebus 11665,0.4,n,,True,0.95,1.05,False,85221
19,11.46729486009636,48.262002614496495,,POINT (11.46729486009636 48.262002614496495),0,Connection Nodebus 11667,0.4,n,,True,0.95,1.05,False,85221
20,11.468981110181243,48.26115642301105,,POINT (11.468981110181243 48.26115642301105),0,Connection Nodebus 19870,0.4,n,,True,0.95,1.05,False,85221
21,11.466523747254213,48.262501222136365,,POINT (11.466523747254213 48.262501222136365),0,Connection Nodebus 11678,0.4,n,,True,0.95,1.05,False,85221
22,11.46725121380305,48.26193793190521,,POINT (11.46725121380305 48.26193793190521),0,Connection Nodebus 11691,0.4,n,,True,0.95,1.05,False,85221
23,11.466988059408559,48.26297831089578,,POINT (11.466988059408559 48.26297831089578),0,Connection Nodebus 13324,0.4,n,,True,0.95,1.05,False,85221
24,11.466402643274623,48.26248914528737,,POINT (11.466402643274623 48.26248914528737),0,Connection Nodebus 11686,0.4,n,,True,0.95,1.05,False,85221
25,11.467455655613307,48.26329788199096,,POINT (11.467455655613307 48.26329788199096),0,Connection Nodebus 16956,0.4,n,,True,0.95,1.05,False,85221
26,11.466298540461004,48.262478514382416,,POINT (11.466298540461004 48.262478514382416),0,Connection Nodebus 9995,0.4,n,,True,0.95,1.05,False,85221
27,11.467172032325271,48.2618104728954,,POINT (11.467172032325271 48.2618104728954),0,Connection Nodebus 11674,0.4,n,,True,0.95,1.05,False,85221
28,11.466197626999579,48.26246820907374,,POINT (11.466197626999579 48.26246820907374),0,Connection Nodebus 11705,0.4,n,,True,0.95,1.05,False,85221
29,11.46713776781187,48.261741423131774,,POINT (11.46713776781187 48.261741423131774),0,Connection Nodebus 11655,0.4,n,,True,0.95,1.05,False,85221
30,11.466099904120238,48.2624612897092,,POINT (11.466099904120238 48.2624612897092),0,Connection Nodebus 11684,0.4,n,,True,0.95,1.05,False,85221
31,11.467103512723861,48.26167239215771,,POINT (11.467103512723861 48.26167239215771),0,Connection Nodebus 11671,0.4,n,,True,0.95,1.05,False,85221
32,11.465986334312928,48.26245656080703,,POINT (11.465986334312928 48.26245656080703),0,Connection Nodebus 11699,0.4,n,,True,0.95,1.05,False,85221
33,11.466668907123069,48.263084873027495,,POINT (11.466668907123069 48.263084873027495),0,Connection Nodebus 5567,0.4,n,,True,0.95,1.05,False,85221
34,11.465857652917252,48.26245120253531,,POINT (11.465857652917252 48.26245120253531),0,Connection Nodebus 11689,0.4,n,,True,0.95,1.05,False,85221
35,11.466505340197061,48.26308373665159,,POINT (11.466505340197061 48.26308373665159),0,Consumer Nodebus 5566,0.4,n,SFH,True,0.95,1.05,True,85221
36,11.467211366177072,48.26218140643026,,POINT (11.467211366177072 48.26218140643026),0,Consumer Nodebus 9858,0.4,n,SFH,True,0.95,1.05,True,85221
37,11.466336351473226,48.26231366340891,,POINT (11.466336351473226 48.26231366340891),0,Consumer Nodebus 9994,0.4,n,SFH,True,0.95,1.05,True,85221
38,11.466929736984591,48.261775368445825,,POINT (11.466929736984591 48.261775368445825),0,Consumer Nodebus 11654,0.4,n,TH,True,0.95,1.05,True,85221
39,11.46700463697816,48.26236556195304,,POINT (11.46700463697816 48.26236556195304),0,Consumer Nodebus 11656,0.4,n,TH,True,0.95,1.05,True,85221
40,11.466664374812035,48.26233243705076,,POINT (11.466664374812035 48.26233243705076),0,Consumer Nodebus 11664,0.4,n,TH,True,0.95,1.05,True,85221
41,11.467000799999273,48.26207829284437,,POINT (11.467000799999273 48.26207829284437),0,Consumer Nodebus 11666,0.4,n,TH,True,0.95,1.05,True,85221
42,11.466925649999368,48.261699642844974,,POINT (11.466925649999368 48.261699642844974),0,Consumer Nodebus 11670,0.4,n,TH,True,0.95,1.05,True,85221
43,11.466933837411807,48.26185111193716,,POINT (11.466933837411807 48.26185111193716),0,Consumer Nodebus 11673,0.4,n,TH,True,0.95,1.05,True,85221
44,11.466551299999532,48.26233329284317,,POINT (11.466551299999532 48.26233329284317),0,Consumer Nodebus 11677,0.4,n,TH,True,0.95,1.05,True,85221
45,11.466115521760399,48.26229506298129,,POINT (11.466115521760399 48.26229506298129),0,Consumer Nodebus 11683,0.4,n,TH,True,0.95,1.05,True,85221
46,11.466438206669235,48.26233409226439,,POINT (11.466438206669235 48.26233409226439),0,Consumer Nodebus 11685,0.4,n,TH,True,0.95,1.05,True,85221
47,11.465875211349521,48.26226432839819,,POINT (11.465875211349521 48.26226432839819),0,Consumer Nodebus 11688,0.4,n,TH,True,0.95,1.05,True,85221
48,11.466996674435732,48.26200169003172,,POINT (11.466996674435732 48.26200169003172),0,Consumer Nodebus 11690,0.4,n,TH,True,0.95,1.05,True,85221
49,11.467261916392866,48.262372245752246,,POINT (11.467261916392866 48.262372245752246),0,Consumer Nodebus 11694,0.4,n,TH,True,0.95,1.05,True,85221
50,11.467119197014965,48.26238359319904,,POINT (11.467119197014965 48.26238359319904),0,Consumer Nodebus 11696,0.4,n,TH,True,0.95,1.05,True,85221
51,11.466001206834436,48.26229826857448,,POINT (11.466001206834436 48.26229826857448),0,Consumer Nodebus 11698,0.4,n,TH,True,0.95,1.05,True,85221
52,11.466777437219491,48.26233159317482,,POINT (11.466777437219491 48.26233159317482),0,Consumer Nodebus 11700,0.4,n,TH,True,0.95,1.05,True,85221
53,11.466891235065924,48.26236641811038,,POINT (11.466891235065924 48.26236641811038),0,Consumer Nodebus 11702,0.4,n,TH,True,0.95,1.05,True,85221
54,11.466232742834748,48.26231511008078,,POINT (11.466232742834748 48.26231511008078),0,Consumer Nodebus 11704,0.4,n,TH,True,0.95,1.05,True,85221
55,11.466977218688427,48.2628659238377,,POINT (11.466977218688427 48.2628659238377),0,Consumer Nodebus 13323,0.4,n,TH,True,0.95,1.05,True,85221
56,11.46865624510573,48.261669079953776,,POINT (11.46865624510573 48.261669079953776),0,Consumer Nodebus 13920,0.4,n,MFH,True,0.95,1.05,True,85221
57,11.467298599942424,48.263286542686345,,POINT (11.467298599942424 48.263286542686345),0,Consumer Nodebus 16955,0.4,n,MFH,True,0.95,1.05,True,85221
58,11.468943976413112,48.263180898426306,,POINT (11.468943976413112 48.263180898426306),0,Consumer Nodebus 16957,0.4,n,MFH,True,0.95,1.05,True,85221
59,11.47148194731567,48.26179627339866,,POINT (11.47148194731567 48.26179627339866),0,Consumer Nodebus 19740,0.4,n,Commercial,True,0.95,1.05,True,85221
60,11.471918262295208,48.26238394618003,,POINT (11.471918262295208 48.26238394618003),0,Consumer Nodebus 19746,0.4,n,Commercial,True,0.95,1.05,True,85221
61,11.469162950059586,48.26114189271469,,POINT (11.469162950059586 48.26114189271469),0,Consumer Nodebus 19869,0.4,n,Commercial,True,0.95,1.05,True,85221
62,11.469187279439174,48.26211930166037,,POINT (11.469187279439174 48.26211930166037),0,Consumer Nodebus 19871,0.4,n,Commercial,True,0.95,1.05,True,85221
63,11.467879786963392,48.26211658770846,,POINT (11.467879786963392 48.26211658770846),0,Consumer Nodebus 19873,0.4,n,Commercial,True,0.95,1.05,True,85221
64,11.468092574475484,48.26215669209033,,POINT (11.468092574475484 48.26215669209033),0,Consumer Nodebus 19874,0.4,n,Commercial,True,0.95,1.05,True,85221
65,11.46825796105804,48.26289966497656,,POINT (11.46825796105804 48.26289966497656),0,Consumer Nodebus 19875,0.4,n,Commercial,True,0.95,1.05,True,85221
66,11.467863838866924,48.26298959721826,,POINT (11.467863838866924 48.26298959721826),0,Consumer Nodebus 19878,0.4,n,Commercial,True,0.95,1.05,True,85221
0,11.466670200000008,48.25655899641754,,POINT (11.466670200000008 48.25655899641754),1,LVbus 1,0.4,n,,True,0.95,1.05,False,85221
1,11.466670200000008,48.25670899641754,,POINT (11.466670200000008 48.25670899641754),1,MVbus 1,20.0,n,,True,0.95,1.05,False,85221
2,11.466670200000008,48.25655899641754,,POINT (11.466670200000008 48.25655899641754),1,Connection Nodebus 2975,0.4,n,,True,0.95,1.05,False,85221
3,11.46667299640765,48.25657896853267,,POINT (11.46667299640765 48.25657896853267),1,Connection Nodebus 2976,0.4,n,,True,0.95,1.05,False,85221
4,11.466544937625963,48.25664016254852,,POINT (11.466544937625963 48.25664016254852),1,Connection Nodebus 11750,0.4,n,,True,0.95,1.05,False,85221
5,11.466803321640628,48.25680121380204,,POINT (11.466803321640628 48.25680121380204),1,Connection Nodebus 11758,0.4,n,,True,0.95,1.05,False,85221
6,11.46681662652,48.256855823954474,,POINT (11.46681662652 48.256855823954474),1,Connection Nodebus 11782,0.4,n,,True,0.95,1.05,False,85221
7,11.466830014887824,48.25691077666107,,POINT (11.466830014887824 48.25691077666107),1,Connection Nodebus 11770,0.4,n,,True,0.95,1.05,False,85221
8,11.46684369038088,48.25696690774604,,POINT (11.46684369038088 48.25696690774604),1,Connection Nodebus 11739,0.4,n,,True,0.95,1.05,False,85221
9,11.466132400000001,48.25666609641753,,POINT (11.466132400000001 48.25666609641753),1,Connection Nodebus 11707,0.4,n,,True,0.95,1.05,False,85221
10,11.466857244779174,48.25702254166732,,POINT (11.466857244779174 48.25702254166732),1,Connection Nodebus 11711,0.4,n,,True,0.95,1.05,False,85221
11,11.466870804870817,48.25707819882738,,POINT (11.466870804870817 48.25707819882738),1,Connection Nodebus 11721,0.4,n,,True,0.95,1.05,False,85221
12,11.467218633750983,48.25672360098068,,POINT (11.467218633750983 48.25672360098068),1,Connection Nodebus 9368,0.4,n,,True,0.95,1.05,False,85221
13,11.46688333255269,48.25712961836431,,POINT (11.46688333255269 48.25712961836431),1,Connection Nodebus 11762,0.4,n,,True,0.95,1.05,False,85221
14,11.466883687663119,48.25713107590402,,POINT (11.466883687663119 48.25713107590402),1,Connection Nodebus 11735,0.4,n,,True,0.95,1.05,False,85221
15,11.466884046609042,48.25713254918632,,POINT (11.466884046609042 48.25713254918632),1,Connection Nodebus 11748,0.4,n,,True,0.95,1.05,False,85221
16,11.466884408562727,48.257134034813745,,POINT (11.466884408562727 48.257134034813745),1,Connection Nodebus 11719,0.4,n,,True,0.95,1.05,False,85221
17,11.46732962560023,48.25671732478565,,POINT (11.46732962560023 48.25671732478565),1,Connection Nodebus 11772,0.4,n,,True,0.95,1.05,False,85221
18,11.46738490916213,48.25671419865433,,POINT (11.46738490916213 48.25671419865433),1,Connection Nodebus 9329,0.4,n,,True,0.95,1.05,False,85221
19,11.466915411847715,48.2572539446916,,POINT (11.466915411847715 48.2572539446916),1,Connection Nodebus 11452,0.4,n,,True,0.95,1.05,False,85221
20,11.465928099999996,48.25652899641751,,POINT (11.465928099999996 48.25652899641751),1,Connection Nodebus 1122,0.4,n,,True,0.95,1.05,False,85221
21,11.466931056151685,48.257309840015246,,POINT (11.466931056151685 48.257309840015246),1,Connection Nodebus 11454,0.4,n,,True,0.95,1.05,False,85221
22,11.467614196529265,48.2567012327936,,POINT (11.467614196529265 48.2567012327936),1,Connection Nodebus 3664,0.4,n,,True,0.95,1.05,False,85221
23,11.467616868748406,48.25670108168074,,POINT (11.467616868748406 48.25670108168074),1,Connection Nodebus 3679,0.4,n,,True,0.95,1.05,False,85221
24,11.466946691940363,48.25736570478408,,POINT (11.466946691940363 48.25736570478408),1,Connection Nodebus 11464,0.4,n,,True,0.95,1.05,False,85221
25,11.466954316561324,48.25739294657891,,POINT (11.466954316561324 48.25739294657891),1,Connection Nodebus 11422,0.4,n,,True,0.95,1.05,False,85221
26,11.466962327244877,48.257421567692525,,POINT (11.466962327244877 48.257421567692525),1,Connection Nodebus 11440,0.4,n,,True,0.95,1.05,False,85221
27,11.466977964633367,48.257477437916194,,POINT (11.466977964633367 48.257477437916194),1,Connection Nodebus 11458,0.4,n,,True,0.95,1.05,False,85221
28,11.4669805,48.257486496417755,,POINT (11.4669805 48.257486496417755),1,Connection Nodebus 11434,0.4,n,,True,0.95,1.05,False,85221
29,11.46795268114032,48.25669793529966,,POINT (11.46795268114032 48.25669793529966),1,Connection Nodebus 19263,0.4,n,,True,0.95,1.05,False,85221
30,11.467972809953915,48.25669679642341,,POINT (11.467972809953915 48.25669679642341),1,Connection Nodebus 19274,0.4,n,,True,0.95,1.05,False,85221
31,11.467824675046653,48.25683437069959,,POINT (11.467824675046653 48.25683437069959),1,Connection Nodebus 19129,0.4,n,,True,0.95,1.05,False,85221
32,11.46716186739677,48.25746972216048,,POINT (11.46716186739677 48.25746972216048),1,Connection Nodebus 11760,0.4,n,,True,0.95,1.05,False,85221
33,11.467177870273089,48.25746824207611,,POINT (11.467177870273089 48.25746824207611),1,Connection Nodebus 11715,0.4,n,,True,0.95,1.05,False,85221
34,11.467830318317993,48.25685447576088,,POINT (11.467830318317993 48.25685447576088),1,Connection Nodebus 5665,0.4,n,,True,0.95,1.05,False,85221
35,11.465568388330741,48.25634504599443,,POINT (11.465568388330741 48.25634504599443),1,Connection Nodebus 4840,0.4,n,,True,0.95,1.05,False,85221
36,11.467246304424188,48.25746191266693,,POINT (11.467246304424188 48.25746191266693),1,Connection Nodebus 11727,0.4,n,,True,0.95,1.05,False,85221
37,11.467262320708155,48.25746043132981,,POINT (11.467262320708155 48.25746043132981),1,Connection Nodebus 11741,0.4,n,,True,0.95,1.05,False,85221
38,11.467854650279689,48.25694116209204,,POINT (11.467854650279689 48.25694116209204),1,Connection Nodebus 8961,0.4,n,,True,0.95,1.05,False,85221
39,11.46733077840798,48.257454099688395,,POINT (11.46733077840798 48.257454099688395),1,Connection Nodebus 11756,0.4,n,,True,0.95,1.05,False,85221
40,11.468201777499226,48.25668384131483,,POINT (11.468201777499226 48.25668384131483),1,Connection Nodebus 10146,0.4,n,,True,0.95,1.05,False,85221
41,11.467346766385788,48.25745262095661,,POINT (11.467346766385788 48.25745262095661),1,Connection Nodebus 11723,0.4,n,,True,0.95,1.05,False,85221
42,11.46822721095257,48.25668240224649,,POINT (11.46822721095257 48.25668240224649),1,Connection Nodebus 5795,0.4,n,,True,0.95,1.05,False,85221
43,11.467867442929505,48.2569867420773,,POINT (11.467867442929505 48.2569867420773),1,Connection Nodebus 11786,0.4,n,,True,0.95,1.05,False,85221
44,11.467954621181924,48.25623270623598,,POINT (11.467954621181924 48.25623270623598),1,Connection Nodebus 9217,0.4,n,,True,0.95,1.05,False,85221
45,11.46825785633474,48.25668066827043,,POINT (11.46825785633474 48.25668066827043),1,Connection Nodebus 17893,0.4,n,,True,0.95,1.05,False,85221
46,11.467872699282038,48.257005472214985,,POINT (11.467872699282038 48.257005472214985),1,Connection Nodebus 8759,0.4,n,,True,0.95,1.05,False,85221
47,11.467414425131807,48.25744636315696,,POINT (11.467414425131807 48.25744636315696),1,Connection Nodebus 11768,0.4,n,,True,0.95,1.05,False,85221
48,11.46743043574888,48.25744488231871,,POINT (11.46743043574888 48.25744488231871),1,Connection Nodebus 11788,0.4,n,,True,0.95,1.05,False,85221
49,11.467879538164244,48.25702984141189,,POINT (11.467879538164244 48.25702984141189),1,Connection Nodebus 9799,0.4,n,,True,0.95,1.05,False,85221
50,11.467498596443138,48.25743857803989,,POINT (11.467498596443138 48.25743857803989),1,Connection Nodebus 11784,0.4,n,,True,0.95,1.05,False,85221
51,11.468373882230795,48.25667410321867,,POINT (11.468373882230795 48.25667410321867),1,Connection Nodebus 17895,0.4,n,,True,0.95,1.05,False,85221
52,11.467514634164703,48.25743709468205,,POINT (11.467514634164703 48.25743709468205),1,Connection Nodebus 11774,0.4,n,,True,0.95,1.05,False,85221
53,11.467894696624901,48.257083855927114,,POINT (11.467894696624901 48.257083855927114),1,Connection Nodebus 6304,0.4,n,,True,0.95,1.05,False,85221
54,11.467571380412016,48.25743260618148,,POINT (11.467571380412016 48.25743260618148),1,Connection Nodebus 11717,0.4,n,,True,0.95,1.05,False,85221
55,11.467909560942267,48.2571368221958,,POINT (11.467909560942267 48.2571368221958),1,Connection Nodebus 6306,0.4,n,,True,0.95,1.05,False,85221
56,11.467618248140129,48.257430543096966,,POINT (11.467618248140129 48.257430543096966),1,Connection Nodebus 11764,0.4,n,,True,0.95,1.05,False,85221
57,11.467937447484836,48.257236190458926,,POINT (11.467937447484836 48.257236190458926),1,Connection Nodebus 6256,0.4,n,,True,0.95,1.05,False,85221
58,11.46780985339396,48.25742210855959,,POINT (11.46780985339396 48.25742210855959),1,Connection Nodebus 3692,0.4,n,,True,0.95,1.05,False,85221
59,11.467947753497144,48.25727291382199,,POINT (11.467947753497144 48.25727291382199),1,Connection Nodebus 3871,0.4,n,,True,0.95,1.05,False,85221
60,11.467838179230187,48.25742086161692,,POINT (11.467838179230187 48.25742086161692),1,Connection Nodebus 6254,0.4,n,,True,0.95,1.05,False,85221
61,11.468544945903059,48.25657913719528,,POINT (11.468544945903059 48.25657913719528),1,Connection Nodebus 9991,0.4,n,,True,0.95,1.05,False,85221
62,11.468543946007001,48.25657507528219,,POINT (11.468543946007001 48.25657507528219),1,Connection Nodebus 9388,0.4,n,,True,0.95,1.05,False,85221
63,11.467913089517142,48.25741756392667,,POINT (11.467913089517142 48.25741756392667),1,Connection Nodebus 3696,0.4,n,,True,0.95,1.05,False,85221
64,11.468532799999998,48.25652979641752,,POINT (11.468532799999998 48.25652979641752),1,Connection Nodebus 9389,0.4,n,,True,0.95,1.05,False,85221
65,11.468837056416087,48.256651303619535,,POINT (11.468837056416087 48.256651303619535),1,Connection Nodebus 9463,0.4,n,,True,0.95,1.05,False,85221
66,11.468871224532776,48.256649684621564,,POINT (11.468871224532776 48.256649684621564),1,Connection Nodebus 4853,0.4,n,,True,0.95,1.05,False,85221
67,11.46879124730074,48.25676497009153,,POINT (11.46879124730074 48.25676497009153),1,Connection Nodebus 6036,0.4,n,,True,0.95,1.05,False,85221
68,11.468806184680938,48.25682153575051,,POINT (11.468806184680938 48.25682153575051),1,Connection Nodebus 7535,0.4,n,,True,0.95,1.05,False,85221
69,11.468129383664442,48.257373476371946,,POINT (11.468129383664442 48.257373476371946),1,Connection Nodebus 3492,0.4,n,,True,0.95,1.05,False,85221
70,11.465029212013294,48.25663302019517,,POINT (11.465029212013294 48.25663302019517),1,Connection Nodebus 13863,0.4,n,,True,0.95,1.05,False,85221
71,11.468178304827102,48.25737195801738,,POINT (11.468178304827102 48.25737195801738),1,Connection Nodebus 3869,0.4,n,,True,0.95,1.05,False,85221
72,11.46904887769319,48.25664126665751,,POINT (11.46904887769319 48.25664126665751),1,Connection Nodebus 9751,0.4,n,,True,0.95,1.05,False,85221
73,11.465033869241598,48.25665567985786,,POINT (11.465033869241598 48.25665567985786),1,Connection Nodebus 14032,0.4,n,,True,0.95,1.05,False,85221
74,11.468821199999995,48.25687839641765,,POINT (11.468821199999995 48.25687839641765),1,Connection Nodebus 6949,0.4,n,,True,0.95,1.05,False,85221
75,11.46822783985494,48.25737042058829,,POINT (11.46822783985494 48.25737042058829),1,Connection Nodebus 3495,0.4,n,,True,0.95,1.05,False,85221
76,11.469128727533928,48.25663748293775,,POINT (11.469128727533928 48.25663748293775),1,Connection Nodebus 6631,0.4,n,,True,0.95,1.05,False,85221
77,11.469220849692132,48.256633117616474,,POINT (11.469220849692132 48.256633117616474),1,Connection Nodebus 6040,0.4,n,,True,0.95,1.05,False,85221
78,11.468377238640148,48.257369090324744,,POINT (11.468377238640148 48.257369090324744),1,Connection Nodebus 18523,0.4,n,,True,0.95,1.05,False,85221
79,11.465060814723543,48.256786655866534,,POINT (11.465060814723543 48.256786655866534),1,Connection Nodebus 13988,0.4,n,,True,0.95,1.05,False,85221
80,11.469300120380847,48.256634281679766,,POINT (11.469300120380847 48.256634281679766),1,Connection Nodebus 5642,0.4,n,,True,0.95,1.05,False,85221
81,11.468467089205387,48.25737012343701,,POINT (11.468467089205387 48.25737012343701),1,Connection Nodebus 18237,0.4,n,,True,0.95,1.05,False,85221
82,11.468482770991221,48.257370303740515,,POINT (11.468482770991221 48.257370303740515),1,Connection Nodebus 18527,0.4,n,,True,0.95,1.05,False,85221
83,11.46938002819789,48.25663730689609,,POINT (11.46938002819789 48.25663730689609),1,Connection Nodebus 10029,0.4,n,,True,0.95,1.05,False,85221
84,11.468572528960236,48.2573713357023,,POINT (11.468572528960236 48.2573713357023),1,Connection Nodebus 18233,0.4,n,,True,0.95,1.05,False,85221
85,11.469492340430289,48.256641558807274,,POINT (11.469492340430289 48.256641558807274),1,Connection Nodebus 18595,0.4,n,,True,0.95,1.05,False,85221
86,11.468672377756064,48.25737661214593,,POINT (11.468672377756064 48.25737661214593),1,Connection Nodebus 18181,0.4,n,,True,0.95,1.05,False,85221
87,11.468774624615678,48.25738774866576,,POINT (11.468774624615678 48.25738774866576),1,Connection Nodebus 18177,0.4,n,,True,0.95,1.05,False,85221
88,11.465124301249041,48.25709524693803,,POINT (11.465124301249041 48.25709524693803),1,Connection Nodebus 11424,0.4,n,,True,0.95,1.05,False,85221
89,11.468870883284628,48.25739823287289,,POINT (11.468870883284628 48.25739823287289),1,Connection Nodebus 3990,0.4,n,,True,0.95,1.05,False,85221
